Type,Group,Time,NodeNumber,PoseID,EventName,SuccessEffects,FailureEffects,Condition,TriggerOnce,RepeatInterval,EffectName,Delay,OverridePosition,PositionX,PositionY,PositionZ
Pose,,5.9,2,0,Event,,,,,,,,,,,
Pose,,12.085,3,1,Event,,,,,,,,,,,
Pose,,18.696,4,2,Event,,,,,,,,,,,
Pose,,25.662,5,0,Event,,,,,,,,,,,
Pose,,34.903,1,0,Event,,,,,,,,,,,
Pose,,39.106,10,0,Event,,,,,,,,,,,
Pose,,46.616,6,3,Event,,,,,,,,,,,
Pose,,52.106,8,4,Event,,,,,,,,,,,
Pose,,57.367,9,5,Event,,,,,,,,,,,
Pose,,61.632,7,5,Event,,,,,,,,,,,
Effect,0,0,,,,,,,0,0,,0,0,0,0,0
