PoseFlow,PoseID,EventName,time,SuccessEffectNames,FailureEffectNames
1,0,Event,5.9,CameraShake|Strobe|EffectLight_KIMI_03|EffectLight_KIMI_02|EffectBeam_02|EffectBeam_01|EffectUI_Perfect,EffectUI_Miss
2,1,Event,6.185,EffectBeam_00|EffectLight_KIMI_00|CameraShake|Strobe|EffectUI_Perfect|EffectLight_KIMI_04,EffectUI_Miss
3,2,Event,6.611,CameraShake|Strobe|EffectBurst_00|EffectBurst_01|EffectBeam_01|EffectUI_Perfect,EffectUI_Miss
4,0,Event,8.442,CameraShake|Strobe|EffectLight_KIMI_01|EffectBeam_00,EffectUI_Miss
5,0,Event,7.734,EffectBurst_01|CameraShake|Strobe|EffectBeam_01|EffectUI_Perfect,EffectUI_Miss
6,1,Event,4.235,CameraShake|EffectBeam_01|EffectLight_KIMI_03,EffectUI_Miss
7,3,Event,7.509,CameraShake|EffectBeam_01|EffectBurst_00|EffectUI_Perfect,EffectUI_Miss
8,4,Event,5.491,EffectBurst_01|CameraShake|Strobe|EffectLight_KIMI_03|EffectLight_KIMI_04|EffectUI_Perfect,EffectUI_Miss
9,5,Event,5.26,CameraShake|Strobe|EffectBeam_00|EffectBurst_00|EffectUI_Perfect,EffectUI_Miss
10,5,Event,4.265,EffectLight_KIMI_00|Strobe|CameraShake|EffectLight_KIMI_03,EffectUI_Miss
11,6,Event,6.399,CameraShake|EffectUI_Perfect|Strobe|EffectLight_KIMI_04|EffectBurst_01,EffectUI_Miss
12,7,Event,6.632,CameraShake|EffectUI_Perfect|Strobe|EffectBeam_00,EffectUI_Miss
13,8,Event,7.663,CameraShake|EffectUI_Perfect|Strobe|EffectBeam_02,EffectUI_Miss
14,0,Event,7.673,CameraShake|Strobe|EffectLight_KIMI_04|EffectUI_Perfect,EffectUI_Miss
15,1,Event,1,CameraShake|Strobe|EffectLight_KIMI_03|EffectUI_Perfect,EffectUI_Miss
16,5,Event,1,CameraShake|Strobe|EffectBurst_00|EffectLight_KIMI_04|EffectUI_Perfect,EffectUI_Miss
